"mois","jour","hrmn","lum","dep","int","agg","com","atm","col","gps","lat","long","catr","circ","nbv","prof","plan","surf","situ","catu","place","sexe","an_nais","trajet","secu","catv","obsm","choc","manv","grav"
9,10,1445,"1",620,"3","2",414,"7","3","M",5025144,295922,"3","2","2","1","1","1","1","1","1","1",1970,"9","11","7","2","8","15","0"
11,2,700,"2",620,"1","1",582,"5","5","M",5025637,290777,"3","2","2","1","1","1","1","1","1","2",1973,"1","11","7","2","1","1","1"
11,2,700,"2",620,"1","1",582,"5","5","M",5025637,290777,"3","2","2","1","1","1","1","1","1","2",1980,"1","11","7","2","1","1","0"
11,2,700,"2",620,"1","1",582,"5","5","M",5025637,290777,"3","2","2","1","1","1","1","1","1","1",1983,"4","11","7","2","3","15","1"
11,2,700,"2",620,"1","1",582,"5","5","M",5025637,290777,"3","2","2","1","1","1","1","1","1","1",1964,"4","11","15","2","9","1","0"
1,13,1530,"1",620,"1","2",865,"2","3","M",5031221,298943,"3","2","2","1","1","2","1","1","1","2",1994,"5","11","10","2","8","15","0"
1,13,1530,"1",620,"1","2",865,"2","3","M",5031221,298943,"3","2","2","1","1","2","1","1","1","1",1983,"4","11","10","2","1","17","0"
9,4,900,"1",620,"1","2",865,"1","6","M",5032589,298131,"3","2","2","1","1","1","1","1","1","1",1924,"3","11","7","1","1","1","0"
12,29,1630,"1",620,"1","1",865,"1","2","M",5032869,300514,"4","2","2","1","1","1","1","1","1","1",1994,"5","11","7","2","2","2","0"
12,29,1630,"1",620,"1","1",865,"1","2","M",5032869,300514,"4","2","2","1","1","1","1","1","1","1",1959,"1","21","30","2","8","2","1"
5,15,845,"1",620,"2","1",701,"1","3","M",5057209,235050,"3","2","2","1","1","1","1","1","1","1",1944,"5","11","7","2","6","1","0"
5,15,845,"1",620,"2","1",701,"1","3","M",5057209,235050,"3","2","2","1","1","1","1","1","1","1",1965,"1","11","7","2","1","19","0"
6,5,1130,"1",620,"1","2",512,"7","3","M",5056954,233826,"4","2","2","1","3","1","1","1","1","1",1996,"5","11","7","2","3","5","0"
6,5,1130,"1",620,"1","2",512,"7","3","M",5056954,233826,"4","2","2","1","3","1","1","1","1","1",1998,"5","21","32","2","3","13","1"
6,29,2045,"1",620,"1","1",162,"7","2","M",5057577,242408,"3","2","2","1","1","1","1","1","1","2",1950,"5","11","7","2","2","2","1"
6,29,2045,"1",620,"1","1",162,"7","2","M",5057577,242408,"3","2","2","1","1","1","1","1","1","1",1985,"4","11","20","2","6","1","0"
8,31,1500,"1",620,"2","2",473,"2","3","M",5062724,245655,"3","2","2","1","1","2","1","1","1","2",1962,"3","13","7","2","7","19","1"
12,8,1815,"5",620,"1","2",313,"2","1","M",5058894,232695,"3","2","2","2","1","2","1","1","1","1",1996,"5","23","2","2","3","1","1"
12,8,1815,"5",620,"1","2",313,"2","1","M",5058894,232695,"3","2","2","2","1","2","1","1","1","1",1983,"1","11","10","2","3","2","0"
2,13,1745,"3",620,"1","1",454,"1","1","M",5055604,260884,"3","2","2","2","3","1","1","1","1","1",1995,"5","11","7","2","1","13","0"
4,12,1545,"1",620,"2","2",502,"1","3","M",5060542,269261,"3","2","2","1","1","1","1","1","1","1",1987,"5","21","33","2","1","1","1"
4,12,1545,"1",620,"2","2",502,"1","3","M",5060542,269261,"3","2","2","1","1","1","1","1","1","2",1995,"5","11","7","2","3","15","0"
1,15,1945,"3",620,"1","1",268,"2","3","M",5066043,184302,"3","2","2","1","1","2","1","1","1","1",1990,"4","11","17","2","2","1","0"
1,15,1945,"3",620,"1","1",268,"2","3","M",5066043,184302,"3","2","2","1","1","2","1","1","1","1",1994,"5","11","7","2","5","1","0"
7,1,1830,"1",620,"1","2",268,"7","2","M",5066697,184069,"4","2","2","2","1","1","1","1","1","2",2005,"5","21","1","2","4","1","0"
